generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_657,"[47.946800730213326, 0.013692242915956387, 0.8434248189518829, 2.0822148386603603, 2.934920799943819, 1.2137356224695943, 4.106056538822325, 2.0922919840884773, 2.555963696576676, 0.8471649985576614, 4.40134047137361, 3.544345753188158, 5.771370169535169, 3.7314775138643745, 5.507913324434385, 8.984517501047737, 12.843735126268339, 2.843092669830194, 11.109041300501564, 2.02700230894715]",516.6697575480061,8537.198334905932
1,elite_1,"[47.946800730213326, 0.013692242915956387, 0.8434248189518829, 2.0822148386603603, 2.934920799943819, 1.2137356224695943, 4.106056538822325, 2.0922919840884773, 2.555963696576676, 0.8471649985576614, 4.40134047137361, 3.544345753188158, 5.771370169535169, 3.7314775138643745, 5.507913324434385, 8.984517501047737, 12.843735126268339, 2.843092669830194, 11.109041300501564, 2.02700230894715]",516.6697575480061,110719.83944903419
2,indi_2_855,"[4.669872090309973, -16.18049590282035, -58.01172228095295, 2.56941821445181, 30.067659705836512, -10.34041159192771, 71.28621740744383, 22.72037228666799, 46.02136932003552, 14.375146302155157, -5.805827291312107, -37.62378391461281, -10.82908412807498, 16.068496508057272, -107.39605317034886, -22.32047265601028, 40.618615802399944, 69.21385747569465, 82.69541916426458, 41.92873652774283]",315.54775057088005,134112.24961500493
3,indi_3_416,"[129.2254020794046, -9.385999231566263, -8.258963143136842, 1.5746824991136168, 39.3829369466509, 0.6164098299203256, 63.720050702813204, 9.578046683830483, 4.140651913435038, 19.646100742637163, 2.6908795660023808, 3.7439665833353297, -45.28853050596755, 6.004709032336193, -74.38413097462855, 2.384558559950019, 13.268433635065804, 5.064337468423146, 120.30400837906788, 34.61191142514733]",169.82660696777003,138440.7227950372
4,indi_4_639,"[57.40251326575238, 2.437792376095165, -27.453318315292716, -0.8182250775509494, -6.041585959475405, -6.741080115037106, 11.580531893564485, -2.1876016934277835, -1.9895103254235464, 4.519798087470023, 95.09100984452174, 31.259596001012792, 1.499113126091561, 5.590739964117098, 30.430711029845625, 9.207378542678459, -7.189593178586945, 2.566188364936676, -12.318451446259026, -44.15992823612994]",87.16692811668185,136225.20562159238
5,indi_5_171,"[56.15685283691289, 0.011732333350635393, -72.02339351758712, 0.646037662297913, 22.70597047501367, 25.238739091175972, 31.935922349902068, -33.29187289047839, -65.58048426815921, 28.9121602038868, 10.829768868328712, 26.586225597974657, -30.055112101985085, 41.36638974946214, -27.114065247450473, 0.18107518776555764, -5.046927562435139, -12.642212505830097, 14.546282086170326, -0.47126229055233715]",63.44152562171315,129816.21107482273
6,indi_6_502,"[66.59680592679369, -0.18686621692530414, -59.04438033107583, -0.2212832891853225, 14.886862733267318, -80.87031704468022, 26.886166207994513, 42.134834338190096, 8.724580360694805, 12.453036571657018, 1.6686578173904072, -14.270794997491867, -2.6712218235268086, 25.786966901940268, -50.61603716017199, 13.579829793130084, 0.34356706160393813, 3.737846810846409, 15.066228072512104, -26.33340632548515]",33.793434549512,116998.0101769321
7,indi_7_120,"[95.72697787717486, -1.012745829499146, -13.23086934426119, 0.017461167370517734, -25.70830807796481, -52.18887200366164, 36.48910213892005, 6.419694527389424, 9.625408034078347, 25.601434315929232, 38.30397206931681, 5.085473481606592, -10.292272578956094, 7.9662757113441796, -22.398255700081403, 23.126565880527465, -0.01491682091505142, -5.268020058039671, -12.469569633127136, -4.361561627006218]",21.90726852281483,117219.74485541291
8,elite_8,"[95.72697787717486, -1.012745829499146, -13.23086934426119, 0.017461167370517734, -25.70830807796481, -52.18887200366164, 36.48910213892005, 6.419694527389424, 9.625408034078347, 25.601434315929232, 38.30397206931681, 5.085473481606592, -10.292272578956094, 7.9662757113441796, -22.398255700081403, 23.126565880527465, -0.01491682091505142, -5.268020058039671, -12.469569633127136, -4.361561627006218]",21.90726852281483,119841.7952836292
9,indi_9_855,"[71.77420341542779, -0.4790493994601186, -14.910876706369935, -0.14990139566479424, 6.360106496717358, -42.310031006982655, 32.56502992720726, 13.904873340223682, -10.702717548248552, 16.811461769112352, 10.855354670613641, -4.748616449031013, -8.971284651986162, 25.52343221354215, -30.226722729163328, 14.087205654465627, 0.2663963455128027, -5.611620133495344, 0.8237291410660492, -8.582230587249507]",16.76409439139254,116764.1304732429
10,indi_10_459,"[78.94178819140802, -0.459695787300484, -19.521435658948427, 0.08483979726647037, -14.429223952083188, -26.542674128651967, 22.138338220154687, 13.132870698494035, 8.561724870576993, 17.169684994684673, 13.473644536377105, 7.143634491268977, -8.009445566224379, 11.620759971787606, -11.77234489687711, 10.04374539887863, -0.9638782552341694, -3.943464401607067, -0.49598886862270564, -21.115635408127204]",15.207946517891946,119890.85104510897
11,indi_11_860,"[70.1652850827309, -0.6433945210891071, -15.348575124418122, 0.00926492116280968, 4.08466340328332, -42.30161097906892, 31.702418894142472, 14.774375513325573, -10.255256693767883, 16.827959044461526, 10.912022906086932, -3.3267987275947744, -8.865914097689778, 23.66311063488062, -28.343700558983805, 13.364095106997121, 0.3584664077071301, -6.09098870719008, 0.5860985259674443, -8.377467325781696]",14.518802901904643,115141.20874526526
12,elite_12,"[70.1652850827309, -0.6433945210891071, -15.348575124418122, 0.00926492116280968, 4.08466340328332, -42.30161097906892, 31.702418894142472, 14.774375513325573, -10.255256693767883, 16.827959044461526, 10.912022906086932, -3.3267987275947744, -8.865914097689778, 23.66311063488062, -28.343700558983805, 13.364095106997121, 0.3584664077071301, -6.09098870719008, 0.5860985259674443, -8.377467325781696]",14.518802901904643,107527.5049861721
13,indi_13_737,"[73.2546578074563, -0.4704407849971136, -16.49990933857242, -0.011967429861809743, -4.760668355859771, -45.30932129397229, 31.228039130369456, 11.156892534633425, 3.77666006796537, 19.190949932786715, 16.49573614402804, -2.9120467054621533, -9.004042473804972, 18.324728749135748, -26.674512234613655, 13.167259151871013, -0.3241907976544682, -6.6341789002375915, 0.2935975417703936, -9.423063358304876]",14.17346048297078,110012.17016783696
14,indi_14_189,"[72.202698047562, -0.41415531667461825, -16.848367875770624, -0.0007967707057650073, 1.10592648698056, -39.73533706268873, 25.4529140610573, 13.199908387782312, 1.0748173478213428, 17.264642647890796, 13.764512924426196, 5.282911362180406, -10.550279778816662, 19.333412578061576, -20.52518259252174, 14.001612794688784, -0.3848625587685484, -4.0839260759186615, -2.0249088072461436, -17.772030152829974]",13.790733185688998,111369.34099251445
15,indi_15_134,"[72.45196569360188, -0.4524658383211055, -16.643692118934382, -0.001738695036199601, 0.2085248871710165, -43.218591757527605, 31.16693271799916, 14.194965783436636, -3.869954354766491, 17.07560130717217, 14.505214218417823, 5.473515605337216, -10.319768750861982, 19.30890137926668, -20.804534528134926, 13.981804285666323, -0.20491122502520032, -5.186776743647087, -3.2130641409240046, -17.256410211593625]",13.785670745954757,116643.11952070554
16,indi_16_189,"[70.52136011528698, -0.4658678624152486, -15.907556487730387, -0.003414454035233346, 1.9785718647771946, -44.055403332735374, 31.173220340593257, 13.553675181624037, -2.469877288232566, 17.325495926116947, 14.750798980601235, 0.7627687026707881, -10.50073786569321, 19.616543643967756, -23.265471017176683, 13.876340250289958, -0.061551963844036786, -6.441138565450372, -2.996889678211598, -13.164399397072316]",13.704387145592564,106828.96419464514
17,indi_17_127,"[72.2686492569168, -0.43632628295114273, -16.046574894164547, -0.007905281727151938, -0.06519463071697867, -42.2798367575298, 28.561788744317468, 12.486566364556362, -1.2690706241481902, 17.46168451047267, 14.411366274062605, 2.4721826386955366, -9.92031391674327, 19.002765432428458, -23.905358304600465, 13.886187897681632, -0.31462350717205867, -5.713952842112565, -1.0378176631205915, -14.55578782609556]",13.68218167869689,121361.50326738448
18,indi_18_843,"[72.0199042693233, -0.429897135495373, -15.963505164966618, -0.0014393221410809532, -2.9580180735311825, -40.204970360541154, 27.105792284283464, 13.675487846718944, -4.195523055193122, 17.304013279170245, 14.244831038442825, 5.1864173527223905, -11.175812877785155, 19.30991292467405, -22.50219869354133, 14.073859658370036, -0.26375003406367, -4.613713839741898, -2.5540197456838363, -15.39049361209517]",13.598197878728612,114356.37208814581
19,indi_19_420,"[71.88445002825983, -0.42850015771495176, -15.870102257537326, -0.0015798434497748617, -0.4731623136263212, -40.311039257392366, 27.48534731026416, 13.338504316957472, -1.9990886384526683, 17.841601529293456, 14.008252512737169, 2.5173601627526963, -10.820483231491467, 19.349470027841733, -23.10796469661505, 13.970980717947656, -0.27923713752523643, -6.353905464758244, -1.428478622467166, -13.655812001218973]",13.561498464046423,111900.0306261991
20,indi_20_94,"[71.8404935547249, -0.41971486251965945, -15.794757792405992, -0.0025234961613897896, -0.38686369821885414, -42.27076378919003, 26.633351536748865, 13.733610996716244, -1.2246330683998796, 17.729025048619874, 13.986595737952879, 2.394287031526659, -10.998894488398108, 19.774688983219306, -23.037535430566997, 14.084972641935208, -0.3159781493321497, -6.128541161705934, -0.9083912257566795, -14.971535442682896]",13.53709876017163,113682.15841522644
21,indi_21_6,"[71.97114154975252, -0.4209073993533952, -15.900200888773977, -0.002524756715846148, -0.814056870079717, -40.975356401209346, 27.17320272107362, 13.401832981961086, -1.6370359403877464, 17.556268831606424, 13.290232695674437, 3.1653145758240058, -11.161974019458901, 19.343578832936323, -22.983188983562698, 14.106010596611823, -0.31680600002045145, -4.845928341719466, -1.4966682808013079, -15.112718263317198]",13.529010028289806,116328.76496992893
22,indi_22_353,"[71.39782351604794, -0.42658262846752026, -15.861979930691554, -0.0023324360500769337, 0.11439332855293785, -41.48994207955047, 29.68088692378698, 13.56289782760544, -1.183791195365776, 17.446444390052044, 13.601818861965555, 3.5365602270307477, -10.558314285510455, 19.576729326928593, -22.970372023580314, 14.091898835920802, -0.2649610824316921, -5.861904862765778, -2.357854637568089, -14.8749592489198]",13.514993073484014,111467.02846187574
23,indi_23_319,"[71.39684688510377, -0.4239790697025275, -15.85301406118381, -0.0022482521491593954, -0.2517140019807548, -41.489230010353864, 29.15112487554839, 13.528742517294708, -1.4019854431660326, 17.458481893992747, 13.604784215485093, 3.193076690050231, -10.610308712271213, 19.58139527564258, -22.879385104516366, 14.08860317418155, -0.27249931636395885, -6.189547594603549, -2.336963876736436, -14.396393927017272]",13.504472738216132,108325.22862780055
24,indi_24_406,"[71.78884112367619, -0.4220100901899337, -15.828401086980367, -0.002807451528940036, -0.5570359791772274, -41.165913092699256, 29.244747824106792, 13.3257630441576, -1.2587648695598104, 17.571298317415085, 13.27734564791434, 3.930620210959132, -11.026851566683623, 19.340314432356912, -23.10522855857262, 14.06472147740729, -0.2902969147130773, -5.705941491146056, -2.025386464797588, -14.995028721886172]",13.49578150371847,115843.74209526872
25,indi_25_199,"[71.63031408566955, -0.42330906450191413, -15.757530239360078, -0.002344146758925916, -0.3030450896361398, -41.173918896129564, 28.15961506619787, 13.22582927524743, -0.9229066071454233, 17.533165812610378, 13.464080241072253, 3.1801034210049335, -11.088031226420034, 19.270129994840378, -23.3395082205122, 14.116779370875054, -0.28560983876114643, -5.270533814564643, -2.128980076964299, -14.404932976825265]",13.486868167588819,103908.74102135097
26,indi_26_731,"[71.49593409534846, -0.42262190481840023, -15.780382910459087, -0.0025701842600475084, -0.7683735956352233, -41.22052264574057, 28.6162474568208, 13.449285440543289, -1.5547917961489188, 17.501374520524454, 13.401494912658455, 3.297923110362335, -10.96166654793668, 19.404522313417797, -23.047365323000285, 14.087844653072782, -0.2753102902076686, -5.807114511039869, -2.176739848171075, -14.147528473809007]",13.482716049668733,109030.80552833965
27,indi_27_115,"[71.62978029347931, -0.42426104750212024, -15.761991753771959, -0.0021321898450682307, -0.3643679379587037, -41.22650651426962, 28.418872875864892, 13.232531927092937, -0.9578638974592555, 17.582772510158556, 13.269622209538689, 3.4668489711173525, -11.076383439326142, 19.305793786216793, -23.203235987401357, 14.11508813767771, -0.28612900909161154, -5.434251698555521, -2.0981247127040854, -14.442361011325328]",13.481562816980553,109310.79595521593
28,indi_28_934,"[71.67979193748656, -0.4234902178906777, -15.764256420529225, -0.0021678311032504714, -0.4623271236504748, -41.239940068982975, 28.981512021261395, 13.30393200816207, -1.2418820619584472, 17.64168781617727, 13.278936684304426, 3.4505454731822645, -11.035943444369583, 19.33375327784254, -23.13371479209492, 14.10196155807862, -0.29059820653748875, -5.593522208737065, -2.2020893807091504, -14.452491691358565]",13.478275615190919,112124.11300466853
29,indi_29_46,"[71.51246261818372, -0.42272096056307285, -15.775612081916691, -0.002092169060272236, -0.6035669654997576, -41.229295192331605, 28.697245935397216, 13.434396119956359, -1.5852345678557074, 17.560519924838438, 13.257774766282589, 3.326215332845564, -11.011512149131562, 19.43545023655844, -23.043086861505454, 14.103110444305178, -0.2849776627727402, -5.61023909573473, -2.1585106099117306, -14.348063230590261]",13.475950358370161,103577.58633986775
30,indi_30_455,"[71.6400523522476, -0.4230747905204637, -15.765021188220317, -0.0019923290250498937, -0.4861727500416118, -41.175971702919675, 28.83576236544252, 13.365849776246698, -1.2529191346024315, 17.53867722602009, 13.28185409342559, 3.4075350381290317, -11.028112025238162, 19.355034637993512, -23.063932215984668, 14.09320041082759, -0.2851069303721424, -5.694791250528945, -2.196620400874391, -14.35425694470926]",13.475307580459447,104183.29967155424
31,indi_31_837,"[71.62897029983498, -0.42307362995120035, -15.766872936889913, -0.0018982282960047594, -0.5269994797553829, -41.182267024168965, 28.843855051551767, 13.361754240195733, -1.519143391049175, 17.595427620286994, 13.237607257034147, 3.3862722534772676, -11.038656899925522, 19.359787870372553, -23.032140010868005, 14.10738557300795, -0.2919575259968314, -5.613414956824016, -2.1940285127461037, -14.325991443526352]",13.474303451771416,100562.83572101216
32,indi_32_768,"[71.61133689344686, -0.42330769935262114, -15.765208423876441, -0.0016785893174136191, -0.5558117848317378, -41.184689362306884, 28.64973807997994, 13.377554383878842, -1.1668483339155022, 17.571043778272905, 13.243800928025836, 3.4229574255670987, -11.010155422451728, 19.348031634421474, -23.083057241998297, 14.114873958482061, -0.2870838822051701, -5.681959646193901, -2.1528717859475495, -14.303796193087397]",13.473539228966672,112465.52980614569
33,indi_33_825,"[71.60865232735158, -0.4229036719975461, -15.76675529755155, -0.001679155672673738, -0.6011187129481549, -41.18596818732142, 28.666193112908417, 13.373321524441316, -1.2096340577293017, 17.56992142759134, 13.252305301614463, 3.42172220270992, -11.01506775687658, 19.359799449742425, -23.068745135155574, 14.106467977053992, -0.28761081822674817, -5.677939869583492, -2.172073686606362, -14.311064361019715]",13.472497162556893,122680.11665291004
34,indi_34_734,"[71.58243971448233, -0.4229106622571814, -15.765432080333834, -0.0016879627698260851, -0.5907939527251961, -41.19761448759327, 28.723535772667134, 13.375174323923563, -1.363141531619397, 17.602481028324, 13.25401712998122, 3.407161090806337, -11.01696745157357, 19.367781413405055, -23.11952748833113, 14.106662496573225, -0.28836907201096734, -5.644858896909776, -2.1731279839140063, -14.304873357289798]",13.47205590609396,111772.04152611758
35,indi_35_23,"[71.5436921941809, -0.4229168000303147, -15.76541081076366, -0.0017152814508034275, -0.5812761859296005, -41.18945430570168, 28.676581609548528, 13.378095428012582, -1.3495379036463109, 17.596695543468506, 13.245351798221796, 3.416012042310449, -11.01726565762503, 19.389278204188322, -23.066973251742905, 14.106387311946948, -0.2878819606289373, -5.641180768812881, -2.1698477284644806, -14.318563116775042]",13.471878606587445,110413.71182304177
36,indi_36_89,"[71.55244354736182, -0.42291129753922807, -15.765247606098624, -0.0016916962097370237, -0.5822514206934288, -41.2009717582138, 28.722803870650353, 13.376436680340891, -1.4221187790020808, 17.604395303975487, 13.247174609862665, 3.4016935827019434, -11.018639839232852, 19.393781083203702, -23.101318931179264, 14.10641597323091, -0.28835823505860914, -5.640260998936539, -2.17263139101132, -14.31346807080146]",13.471705407762744,103611.2321358146
37,indi_37_585,"[71.54581972345301, -0.4229160534363397, -15.765306309263968, -0.0016961399553195818, -0.5803099468086724, -41.20000578645153, 28.717158420578492, 13.379843643222738, -1.381472863811307, 17.59614926969604, 13.246228109683225, 3.4135488653135306, -11.018640233864218, 19.39350585189833, -23.119386310461536, 14.104750093748791, -0.2882858995728879, -5.640267847056254, -2.171581691399086, -14.2895967355893]",13.471488792132995,110369.46988919476
38,indi_38_745,"[71.54563806201482, -0.4229047210284971, -15.765576823226365, -0.0017015292210769254, -0.5792153364868196, -41.19978615122109, 28.710902406072606, 13.380389878367414, -1.291186249274514, 17.595748735263463, 13.247314469848458, 3.413384282968289, -11.022679374188153, 19.374025036356844, -23.114148158125033, 14.100449632045477, -0.28820913281785976, -5.638541561958936, -2.176799939927433, -14.289596174753584]",13.471462451722124,115447.41955120243
39,indi_39_540,"[71.54633466762164, -0.4229044007113638, -15.765653923518508, -0.0016944252058000771, -0.5775529045804473, -41.197139277526645, 28.702800599579653, 13.381027175578208, -1.3049273556537808, 17.59543765730833, 13.243833106545901, 3.4148543321784075, -11.016270313948848, 19.373676214100847, -23.113933916097423, 14.103622780647216, -0.287765237980899, -5.6421409175409085, -2.1744853312162684, -14.30362954270831]",13.471403718148533,114447.96193245045
40,indi_40_709,"[71.54876488711363, -0.42290671036124405, -15.76561207946772, -0.001697732918613872, -0.5748340866824222, -41.19839958304842, 28.70586745370721, 13.379677052903165, -1.3162031121792594, 17.595722513836954, 13.242978133471123, 3.414610536152449, -11.018751688918801, 19.377957834759293, -23.114607174721314, 14.103704800760307, -0.28798435933022815, -5.640143271456543, -2.175844217555511, -14.290542740763314]",13.471363858855783,119187.82481745824
41,indi_41_435,"[71.54693416004861, -0.4229052011655654, -15.765548750383545, -0.0017042624379349392, -0.5789750722606896, -41.197387320687255, 28.70480763944677, 13.381064844162754, -1.287820982915419, 17.59480348448756, 13.242659840474175, 3.4150224546744945, -11.02036837634459, 19.37414442795068, -23.113066149341332, 14.101625796611664, -0.2872602537757314, -5.648551635917461, -2.175753332188496, -14.291672375084028]",13.47130610360255,113924.38796268044
