generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_780,"[95.35530453095451, 2.995661741457414, 0.7166603887392562, 0.5112340835603009, 0.26512859944687817, 1.3079140711111208, 1.1129490561873117, 3.8545866873941215, 6.111470646978192, 3.185055992148941, 3.501534584298794, 3.272853584906848, 0.7974810601980887, 1.4832567192469546, 11.732936716267234, 2.7208665502338074, 28.312783303138403, 4.835931839307388, 3.3465837142186086, 16.452154009783015]",937.7411321785489,8817.903925784049
1,indi_1_17,"[23.379410600934143, 1.5352503208955472, 0.4713227656888845, 0.07070624686214777, 0.7541262379651738, 2.427878641219669, 2.6595445679528886, 1.7513639026948018, 4.1626268384734235, 5.030495924570453, 6.116316709040556, 5.271988576632276, 5.670613643990894, 8.788811126582429, 6.508759649098355, 4.319670633092525, 19.739716428972823, 7.343712288398307, 14.070807528681243, 12.264245589968876]",553.9609742415448,100762.21196781723
2,indi_2_339,"[25.892398164824115, 1.944619293125754, 0.7128820992008631, -1.0480546223140277, 0.7897825607724105, 1.9710708578976879, 3.3887223238403354, 2.2840502203850575, 3.9924223052866328, 5.018333767957508, 3.9318496961297105, 3.3958944977523613, 4.977497077057738, 6.686556795343824, 9.203953644793092, 5.250766876896398, 10.429669616327828, 7.434546508795155, 13.94287612482485, 12.27687084622794]",283.583081983339,133726.4287148846
3,elite_3,"[25.892398164824115, 1.944619293125754, 0.7128820992008631, -1.0480546223140277, 0.7897825607724105, 1.9710708578976879, 3.3887223238403354, 2.2840502203850575, 3.9924223052866328, 5.018333767957508, 3.9318496961297105, 3.3958944977523613, 4.977497077057738, 6.686556795343824, 9.203953644793092, 5.250766876896398, 10.429669616327828, 7.434546508795155, 13.94287612482485, 12.27687084622794]",283.583081983339,128663.43349793958
4,indi_4_41,"[48.048828741551525, 2.1193914650193664, 0.6620987912677546, -0.9639665317403563, 0.999229835074369, 2.1280815917544738, 3.6551532241830884, 2.7556661301190193, 3.8516431994894083, 4.131306014396241, 1.9583686053738125, 3.732909548703977, 6.06315999098914, 9.112833945279485, 8.25010803777307, 7.0078753005934775, 6.058941688081328, 7.2340221168002214, 8.649205197482384, 13.351463819265465]",226.0681381034581,119777.83389928307
5,indi_5_544,"[25.901657716845907, 2.0630443428849023, 0.6968477119655933, -2.160106458637327, 0.7719968432510929, 1.9766463264941154, 2.9783742996222733, 2.1658781067691137, 3.9970859925111784, 4.7895863757418145, 5.783266140804488, 3.868905473244295, 5.628594971214463, 6.321240312673822, 9.118387078621609, 5.086172371029473, 10.448396230552586, 4.967236327892069, 12.886619514818051, 12.047551632693358]",218.69837239615077,137088.8908360837
6,indi_6_145,"[40.683572769504764, 2.2334727366575566, 0.5850884213975048, -1.8513028212417573, 0.9138049795473401, 2.625011313900927, 2.7612258460575836, 2.2544585626109868, 3.85230668629577, 4.256659466628279, 3.004094363734767, 3.8194669423970002, 5.793673676540992, 8.848040730331906, 6.353058039867142, 3.5413942918389907, 6.089992916113568, 6.3417305049305, 13.704594979143499, 12.086802195513036]",175.82167893351982,102952.55232950726
7,indi_7_334,"[32.86763489363959, 2.2642756801254116, 0.6770184732486829, -1.984768585775163, 0.9171046314016356, 2.055426709575564, 2.7599017124580927, 2.361542152659835, 4.338375674196488, 4.567767995641269, 3.2769967572008514, 3.173369132387528, 5.713481303955289, 7.745312845940097, 6.735359460547814, 3.907196177559584, 6.15150114177177, 6.491961556485147, 12.95254656982544, 10.886870076201209]",166.9047497935071,128439.66089716661
8,indi_8_122,"[33.95445961823005, 1.9158147906450582, 0.6292752870736846, -1.8743095413238124, 0.9994095200406973, 1.973543346661311, 2.658411636678444, 2.2623160776437, 3.8849693640613325, 4.2408220295603405, 3.4264250964489817, 4.147887895366216, 5.779574832076295, 7.533418721618733, 6.814782404981006, 3.3516346925264995, 6.450715645654126, 6.504081813110008, 11.309965859427477, 8.571256723426403]",157.87895574147382,127627.76152901795
9,indi_9_783,"[34.26505030052999, 1.9284490489084831, 0.6253142890711574, -2.0149517954730056, 1.0392561989959836, 2.1901711533580235, 3.1482020524600607, 2.277486535148548, 4.167105076548459, 4.390782645669596, 3.0801575087068245, 4.63082672960523, 6.06817574957949, 7.960879042243509, 7.803088180727778, 4.780821070426683, 6.307510243741182, 6.88829290951484, 12.927827370056752, 10.412103391324967]",155.46699093205095,113859.892589542
10,indi_10_1015,"[31.943398767377445, 1.9206041116225618, 0.6006600362730107, -1.9427091080484455, 1.0881194428871173, 2.065378559965382, 3.1278641781571057, 2.3229447349349948, 4.344773258492132, 4.482366712377467, 3.0158428480038357, 4.672254688231518, 5.961862859368789, 7.466094292675066, 6.663275645405004, 4.179245206088598, 6.242078883603439, 6.819051322973712, 12.867197383647449, 9.84195347548713]",153.54760694408435,111785.125974389
11,indi_11_637,"[33.304648411907046, 1.9029225121055362, 0.6206400264584894, -2.018100215738066, 0.9584438728737592, 2.1018453902340366, 3.0809302864233388, 2.272819351403263, 4.2512677038839275, 4.300557787972059, 3.308339546580077, 3.9559027825577053, 6.031821883878622, 7.602211668105378, 7.122222328834618, 3.921467881505184, 6.199113834890159, 6.608020310170961, 12.290476744644039, 11.086718635736446]",151.5214783731469,114797.09665879831
12,indi_12_65,"[31.213088359055902, 1.9349788835697415, 0.6011927916030507, -2.052835159101323, 0.9804707727078517, 1.9818802016262587, 2.8706115374287444, 2.406974618249097, 4.185184839121543, 4.307536450605166, 3.455618468994218, 4.0870859403472855, 5.942232884059967, 7.425560022126103, 7.226800752973332, 3.696251812456974, 6.200574225791597, 6.167257710528481, 11.8000498609685, 9.723844867881379]",149.89703033624784,123849.264114096
13,indi_13_404,"[31.230252506330398, 1.9315196428685817, 0.6100213616345954, -2.0469192260568763, 1.0077894602062771, 2.01928961431695, 2.837101930233896, 2.402955372480164, 4.099200420105273, 4.332196481897511, 3.2990741920508295, 4.12141365716756, 5.989209120185805, 7.497839186272669, 7.149629534509751, 4.330458949706556, 6.201292484031262, 6.26325612052163, 11.146011018694285, 9.519854936093845]",149.54442122620117,142037.61466636354
14,indi_14_909,"[31.22223781504043, 1.9148343186964705, 0.6168186146670396, -2.122152988280407, 0.9856931963260445, 2.0201642097900834, 2.979312719818795, 2.358445623718752, 4.16900456670168, 4.314853138635083, 3.3689495761926955, 4.0578404768051435, 5.962046852191554, 7.4290305972126145, 7.136898826706384, 3.789870254446301, 6.209773821492658, 6.326336714803913, 12.18665145298312, 10.094665811588376]",148.87182342828058,136888.30370955975
15,indi_15_182,"[31.834441119217907, 1.9138413932361726, 0.6178608877217644, -2.1079275182814055, 0.9965414253984413, 2.0392296977186257, 3.029113083681294, 2.3081245141165723, 4.139752226140064, 4.329382539768908, 3.3500389349367885, 4.2085273775587, 5.988430119919991, 7.5222641195125695, 7.045531294808304, 4.0855086542357935, 6.195272277309216, 6.3419477914042055, 11.542984758480102, 9.677148774841756]",148.6988985932382,118600.8825338702
16,indi_16_518,"[31.747429377570093, 1.915974959341272, 0.6165503544133205, -2.1187228267163345, 1.006559988789236, 2.099004956693086, 2.9498603629744835, 2.3872042512599396, 4.12159064221994, 4.329060454804988, 3.3283827193920015, 4.221284944772676, 5.982124139415404, 7.606954070216046, 6.970086247077778, 4.001607058359849, 6.202095239338452, 6.2150195380438245, 11.283643711323444, 9.6243037361773]",148.45500265319967,118207.42311707439
17,indi_17_131,"[31.496347503025277, 1.9111542714149987, 0.6149981872770767, -2.123625144772232, 1.0257317619942408, 2.121390893058611, 2.9765632601318437, 2.360671946122913, 4.125029463922995, 4.334327702979329, 3.3349168324184135, 4.187609928841505, 6.008344255556586, 7.774157302370131, 6.960368335765324, 4.001734899815986, 6.20191757242511, 6.328003001015833, 11.326219256557321, 9.757999852993654]",148.25861217504306,121833.71381127155
18,indi_18_939,"[31.3527782315454, 1.9144786683801134, 0.614748355216213, -2.114174177851261, 0.9991450430586921, 2.06290821569034, 2.9418384959863597, 2.3573307831113164, 4.130052227910831, 4.327242867671206, 3.3424090712951378, 4.1557778234887675, 6.039112400286507, 7.577936743106161, 7.068578642272751, 3.9676051008195987, 6.188689155318789, 6.311585502987391, 11.350287979054922, 9.700094231249427]",148.17903919134142,111665.83769652124
19,indi_19_148,"[31.406806346019703, 1.9130257581562962, 0.616568602127604, -2.1217735546800403, 1.0051950930378086, 2.093399755302443, 2.928927960219847, 2.3581884915769753, 4.124852501823682, 4.325471342444688, 3.3676130228323906, 4.167900973519103, 6.034094967801938, 7.749028398798927, 7.035742348551926, 3.9383543862487045, 6.1874142853505605, 6.328311518647407, 11.34657480061555, 9.679621282028263]",148.09850368734817,122597.28284991586
20,indi_20_818,"[31.633193961503686, 1.9098921353624219, 0.615317979076548, -2.116097432782321, 1.0021923525822627, 2.0609152300331885, 2.9556800342181777, 2.349266640555066, 4.13972803910406, 4.327134781326287, 3.3593333096853426, 4.223446857900799, 6.041022832904796, 7.54689891482188, 7.057661809826782, 3.9813551322000764, 6.179868610292363, 6.254224961547321, 11.323692367100099, 9.82223844611549]",148.05456449324615,127824.0223434273
21,indi_21_1028,"[31.333301275036643, 1.9125914386984741, 0.6162742810817483, -2.120340641747913, 1.0017716817589835, 2.0959774520048136, 2.9593186293773273, 2.3598193246329195, 4.129363739608168, 4.320219982010818, 3.355328096651136, 4.168307282689531, 6.048779677718652, 7.601895428306686, 7.060931227184124, 3.984385615521289, 6.181295038741292, 6.258952355867338, 11.362867845176487, 9.774093306271027]",147.97761512219958,124356.5646103277
22,indi_22_276,"[31.335355088013042, 1.9112105810170585, 0.6155087820087313, -2.120783103289785, 1.0004897168355653, 2.060218685975613, 2.9554417393776116, 2.338942191552573, 4.130689951403438, 4.321900423201199, 3.35857606988518, 4.187972443905229, 6.028077911838215, 7.561313152541658, 7.04793973781819, 3.9666937912562448, 6.1861742105071045, 6.249448269228284, 11.314820610254056, 9.784534161405547]",147.94133062817855,130839.83710286336
