generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_178,"[5.689329261986762, 6.015512120265512, 0.45532589800584544, -1.5511151004303119, 1.2130672592133547, 1.4645102151872436, 3.4827912364785383, 3.1990385891677326, 1.6884699516934045, 7.230134515384475, 7.465751675114656, 8.855858596624563, 4.923943528745664, 11.693668990459482, 9.449097837958869, 12.875609260770803, 13.138968617130764, 6.92635389306418, 15.631190149561792, 7.661206419488139]",540.473944188105,9116.855900755549
1,indi_1_69,"[11.98188588835472, 3.837850251576848, 0.5132929841065439, 0.25797289193543627, 1.3272507462120657, 2.5510530211575757, 2.055117847082114, 3.2617704795959015, 1.836494405123181, 4.495084555919975, 5.002370360296725, 5.910700707002157, 4.591650951221847, 7.467013538670337, 9.395254554121532, 10.908649867197882, 9.987162404582728, 7.078059420092402, 9.294747017819649, 8.981361717578462]",490.6182489436147,238666.36612215167
2,indi_2_255,"[7.421390916999145, 5.153301652431013, 0.4767977860443927, -1.4312964847153382, 1.3024280204268028, 2.0443251196439376, 3.108933278914586, 3.247144489359504, 1.802492138197504, 4.74580228000341, 6.238884590554388, 6.453577235707719, 4.686721096172034, 10.276287803696238, 9.403152717900447, 12.338849182855466, 10.108995469512003, 7.062990430676154, 13.54070722626874, 8.439617854099156]",430.2381430630513,197101.88255564237
3,indi_3_365,"[190.75778649658335, 3.2315503743471936, 0.5396839177392199, -3.0716973854304666, 0.8252800958720505, 2.019028998831006, 1.5711557482981926, 2.8777096579287607, 3.527021006900336, 0.5757233926051768, 3.212345229683205, 4.940032261588431, 2.9285891421637036, 9.170592684572904, 5.2283334846105465, 4.402033043380902, 6.998317933491477, 12.105975000558047, 9.40455237218274, 8.236123570106772]",309.30614449222855,216554.30385468027
4,indi_4_117,"[38.27630405329025, 3.640686215217631, 0.507250883532532, -3.1119162872037887, 0.8666714245703971, 1.6176573074793106, 2.9423193667645307, 3.0087824953261997, 3.0479862516054728, 5.482683520832281, 3.447944350627883, 4.9566143665424605, 3.7564891395342785, 10.87070847003078, 5.285950211947714, 8.021136358313301, 7.571549239728375, 11.185484319620576, 8.772566142172057, 8.37572858018913]",224.15525659373458,210971.54248091776
5,indi_5_708,"[43.990099146124294, 2.5090745756620407, 0.4993329692827595, -2.08677485233797, 1.307688306338963, 2.3302144741943356, 2.3970817893111773, 2.149940854742077, 2.9542060471511986, 4.206969736343056, 4.453014519617196, 5.795063384942103, 4.885098386342774, 9.072907604725394, 9.256540403756631, 9.094331070878244, 7.4930178704311405, 9.385464625935775, 11.14916759581123, 10.046667988554415]",208.15853848800197,243281.7992351797
6,indi_6_660,"[28.52933149350354, 2.4773980683585437, 0.6003755179488087, -2.0234486401740925, 1.0032562345766187, 2.0613639240129924, 2.3195725831299225, 2.53047350754539, 3.3332565936210825, 2.264947756437212, 4.534989204731758, 5.197800980699182, 3.771292986083199, 7.926530696633108, 6.496338280458522, 8.613058996531844, 7.290963218116559, 9.347253529969633, 8.140284922987739, 8.739180429985023]",189.82886858691674,219307.70939321397
7,indi_7_649,"[30.953462946517906, 2.549872150538455, 0.5135705951074869, -2.6406608285183655, 0.9932196264846768, 1.988156967674037, 2.8419348353258678, 2.9507658495829068, 3.3327124146856653, 3.88985212171645, 4.51299550899855, 6.247529966761844, 3.748001887278071, 10.121620548879445, 6.13784793961203, 8.277779171523116, 7.22825518758753, 9.353165001167058, 9.796686110404035, 8.329983481191203]",180.0402164644685,237605.4406062981
8,indi_8_381,"[30.128665828273665, 2.5571861955430055, 0.5532746293482084, -2.3766899750498225, 1.203842890166794, 2.195559272702924, 2.259203515308056, 2.652626562680079, 3.1886517644637484, 2.4229373440356117, 4.703901194836975, 5.350574273864532, 4.018123907030939, 8.662065811415925, 8.269297365155944, 9.046824543671848, 6.6528528030024265, 10.244035143801849, 9.87223050689785, 8.324721667645846]",176.24785251065558,198482.2620973229
9,indi_9_561,"[32.4550869480563, 2.498432568237229, 0.6025973294008038, -2.714006713773511, 1.0294849895316927, 2.1140722569468635, 2.5555056059379866, 2.541292084782976, 3.052066609645137, 3.5744162228958545, 4.605652808950907, 4.80521015729369, 3.801050238542584, 7.807208687009233, 6.887085319726349, 7.5622857326304285, 6.775198327973696, 10.007236009084599, 9.303378196512543, 8.676014252013804]",173.45551792190687,188242.70597465348
10,indi_10_724,"[25.36103978743376, 2.5650978075469095, 0.5563723514796453, -2.613211829438303, 1.2134043127512824, 2.147765086815507, 2.0931618559713154, 2.539718005379191, 3.186453838988479, 2.4008348692136683, 4.64389800822993, 5.320702130245552, 4.128311634985144, 8.601521045527104, 7.024526476998011, 8.994411190562802, 6.5856633024029305, 10.327050539626859, 9.672557393633902, 8.320709754060735]",170.56915582854225,203977.362219757
11,indi_11_816,"[24.656707609697218, 2.546022206087554, 0.559446489423466, -2.5119069435735226, 1.1279086225856954, 2.184205070120451, 2.423359253776922, 2.5614704321914292, 3.183866402677485, 2.4233826770159608, 4.661748126057828, 5.380107554207409, 4.059880013680151, 8.392905238671785, 7.3160668131868025, 9.115891636746849, 6.612903800308115, 10.246873513980248, 9.484716349494324, 8.408637415523817]",170.1414697496537,204713.84797789445
12,indi_12_648,"[26.24717987634146, 2.4862186285785817, 0.5551803796175478, -2.638337824553495, 1.1623671465061445, 2.1080413060932544, 2.291711559245548, 2.5702524695657227, 3.162686667179442, 2.569327459127404, 4.6531204092199445, 5.135484329654193, 3.7907887579072677, 8.115933948866575, 6.945846029111904, 8.904125624137414, 6.656237661689625, 9.638877154917578, 9.685299361043997, 8.38288982750702]",168.97093463401373,211165.22999678436
13,indi_13_685,"[25.33890718110666, 2.4830075773899956, 0.5663384475805955, -2.5302805000822532, 1.1350499048158502, 2.166471790524911, 2.4480150647278363, 2.4709806840586426, 3.371036108141367, 2.5934198362722922, 4.618667330227263, 5.084823059089217, 3.8902459445235347, 8.360581801727488, 7.329230849295672, 8.969356582996813, 6.61792952561683, 10.01979190567237, 9.20178293954308, 8.422313408524065]",168.05459379279668,220131.88709066968
14,indi_14_730,"[25.374921566500298, 2.4779276568464166, 0.5606823957475205, -2.5474329498325288, 1.1351961106923314, 2.1632427015093434, 2.436903610077312, 2.4689479972880415, 3.291044146382854, 2.5998704629431004, 4.621840758250781, 5.090654941607807, 3.8763537004249775, 8.360715877598995, 7.324679821599708, 8.847247791662902, 6.619767704809427, 10.008947567255667, 9.27198113158817, 8.42143656033847]",167.89620113482263,210509.49818392936
15,indi_15_247,"[25.133708815961704, 2.4815925656026927, 0.5584033719304488, -2.5877552467352216, 1.1483136213896545, 2.1389796244515495, 2.424394111947431, 2.5561568909262897, 3.1902490146925944, 2.6240082675349163, 4.641592856489859, 5.144574004082759, 3.8969394792778678, 8.421307525159872, 7.209626255130585, 8.655441528207346, 6.616682683183553, 9.928840753263067, 9.08543658910729, 8.370224568516011]",167.68362520695908,209248.31243858204
16,indi_16_234,"[25.092978734242465, 2.483807170470515, 0.5666499336957574, -2.5675909379431734, 1.1503985544836386, 2.149393166138559, 2.4840430497785184, 2.53907464056877, 3.2031877717195636, 2.546698303147171, 4.613391409248373, 5.1824957560001765, 3.899492667810542, 7.722120737923957, 7.23566383539774, 8.675647361496097, 6.617451164442825, 9.927600895764048, 9.145383525342481, 8.37442789941827]",167.64715327642253,219724.4050788551
17,indi_17_825,"[25.13866462351452, 2.4785506842498335, 0.5664574585878343, -2.5673724802324096, 1.1549336051803136, 2.1494477314708496, 2.4395101465991673, 2.5277751509368516, 3.221235108340695, 2.5586993079159805, 4.63228158941204, 5.162871944992533, 3.929225140599255, 7.863267355520937, 7.235084880045329, 8.716017496114922, 6.613982000861807, 9.930727589257286, 9.247758385466348, 8.38276597078498]",167.5608670574618,219404.9859046801
18,indi_18_305,"[25.13704201898933, 2.479854839400259, 0.5654425972847599, -2.570265849208695, 1.1391562747571988, 2.1535916020699624, 2.4547963276828946, 2.4923105498394897, 3.2280107379913137, 2.6097331197276943, 4.635718854586063, 5.180601556788487, 3.8822575699242057, 7.957536780017845, 7.264262553104411, 8.780403609521768, 6.616518973947038, 9.860235310132289, 9.014909114771768, 8.388406426521454]",167.51237540725438,207351.36003052772
19,indi_19_512,"[25.15347967081636, 2.4789909888159483, 0.5609022012189342, -2.5772093395728963, 1.1534858371963765, 2.1477764469672067, 2.430986908853383, 2.5366094571533773, 3.201504424952963, 2.5748583105560625, 4.634852942162747, 5.148974839530254, 3.90511630231211, 7.974291814906736, 7.29655995976371, 8.757543241559118, 6.612996323958439, 9.866208040192328, 9.01378388833833, 8.404715937018187]",167.46687694999,208984.8765812551
20,indi_20_417,"[25.127833930353034, 2.479938288068948, 0.5578151054785278, -2.575697374169126, 1.1440898678694351, 2.1490031834799144, 2.475719994022936, 2.5099191498786713, 3.203159086008853, 2.6141837267291166, 4.634127404325379, 5.140869884206921, 3.9239958593642874, 8.032207185302514, 7.238538973650575, 8.751925973216975, 6.611958151316445, 9.78994563461067, 9.006205541722219, 8.380484552112407]",167.42964348135067,168221.89054522684
