generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_95,"[135.75726046715576, 9.279771557609935, 0.18016001655649028, -1.4988143948395685, 2.6425274402027608, 0.34833839916647735, 2.8407572525503952, 2.3741279662336976, 1.2461156610820752, 1.6906326259275775, 6.888589034804011, 9.507335298782584, 8.526058306458081, 7.067500708914981, 11.02841829963039, 2.697109203405793, 9.893683709522573, 7.96315515948997, 12.499754803741054, 15.49096717505111]",812.3068338536361,9197.969755899254
1,indi_1_43,"[158.16370448117732, 3.855535318984205, 0.19897791300787496, 0.2585749966026962, 1.9082481548554189, 0.3699876925454541, 2.8417048380704655, 2.0156496544248346, 1.2209739514576572, 5.107535579170053, 6.967777562347447, 5.264364009813665, 7.961082898603197, 2.720924144450075, 6.339609926880392, 7.3825616655197335, 9.439714266373898, 11.772841675310374, 13.114632995648895, 16.15095938230489]",632.6946405158616,203758.79771107205
2,indi_2_755,"[117.6764400338536, 4.01155872698367, 0.1983694704475256, -1.0327956680283146, 0.28002678301193495, 1.5734913481366757, 2.910160652522553, 2.24048268545105, 0.7716040833858603, 4.9515312753684135, 6.731990132724373, 9.043108868944202, 8.589798933276638, 8.666672619480135, 6.683468810175355, 3.8256803917525035, 10.546606330395834, 3.7727645708446946, 11.059239114060446, 11.25802189389795]",503.951055784302,215528.67557370936
3,indi_3_138,"[85.90121125850989, 3.447238330964556, 0.37363049267815596, -1.3942189272975238, 2.571850693358083, 2.0003890262124115, 3.2321356035220545, 2.504995895144301, 2.2651248767975156, 5.937902456433546, 5.466886950087595, 5.039579734929744, 7.941222978843596, 7.302718490958824, 4.529473316978791, 3.7139858818553453, 11.357345842271043, 6.401480948054483, 9.60410990483643, 12.872354412912104]",424.56937749592606,230154.1753906786
4,indi_4_564,"[109.50659709292742, 3.0792865267321194, 0.5468126937981888, -0.7604435502563874, 1.7323609407054656, 2.1265835308019003, 2.91692321183356, 2.7545519315346296, 1.8231356798083032, 3.163497273373708, 5.493364491525773, 4.588032741630203, 6.91655452733151, 3.5447029775626477, 5.227979910587013, 6.953628857519602, 7.7072229409907, 9.157031970340684, 12.809510928732202, 13.822880459899622]",402.4650282674466,220255.23834890005
5,indi_5_93,"[77.22991869277506, 3.4397353366349153, 0.6018205672510087, -1.2718847313010664, 1.4698037943188356, 1.315950139173123, 3.172129985114024, 3.8002536537265943, 1.6662304935741798, 3.6937930258563907, 5.473384805108795, 5.105358552038101, 7.4185876357012805, 6.107023504764417, 5.719509360713409, 8.872874606317659, 6.6726067919613445, 8.191946048891413, 12.499789471847368, 12.82038125069969]",329.57325766959605,233022.253498736
6,elite_6,"[77.22991869277506, 3.4397353366349153, 0.6018205672510087, -1.2718847313010664, 1.4698037943188356, 1.315950139173123, 3.172129985114024, 3.8002536537265943, 1.6662304935741798, 3.6937930258563907, 5.473384805108795, 5.105358552038101, 7.4185876357012805, 6.107023504764417, 5.719509360713409, 8.872874606317659, 6.6726067919613445, 8.191946048891413, 12.499789471847368, 12.82038125069969]",329.57325766959605,187143.67719356643
7,indi_7_62,"[86.80611931125918, 3.195866210954532, 0.45815014072855587, -1.2440712907650566, 1.409113355142903, 2.4831687635455673, 3.4178507798651543, 2.456967124867825, 1.473009044353548, 4.24982991132112, 4.865937385989839, 5.521548046541127, 7.333134267820796, 6.67267351892903, 4.244566078092071, 7.165406892053202, 6.339665639040911, 7.946713072753241, 11.809721208620537, 13.123265601343139]",317.5389424313595,216657.50477605467
8,indi_8_617,"[77.71690487190318, 3.087217912932572, 0.5908731054895613, -1.2386157177323187, 1.5950778305762194, 1.9990636715176815, 2.9526642357629242, 3.5059541668714473, 1.6661319831923609, 3.5207406515990276, 5.513975849851564, 4.91921272742835, 7.376927992229065, 6.153939485459954, 5.6035079644060275, 7.208480439620367, 6.997443956497987, 8.140573590679567, 11.093220686718396, 12.359313351418468]",315.897329451097,203581.55128200373
9,indi_9_276,"[82.6815192694566, 3.2021003649268125, 0.5390520206615241, -1.3134711634661045, 1.439968496669648, 1.4989017045621298, 3.114031025658824, 3.237255466157479, 1.7090151262259745, 4.070025790847226, 5.561349582836426, 4.881527593702139, 7.451654123546845, 5.939898772221813, 5.215849471718968, 7.672039824030998, 6.346941508404477, 8.220437614633262, 12.25771365964953, 12.177364973984487]",309.33896598876186,215688.05230669258
10,indi_10_26,"[81.5737856972746, 3.093519268544258, 0.5375657704578446, -1.2976741119811643, 1.585236171913142, 1.4992443274096672, 3.096127421435166, 3.3450216475189674, 1.7026295549291937, 3.6333546222786572, 5.545178767349172, 4.887943146400327, 7.392487591003509, 6.0028292240256595, 5.217064576221101, 7.568896534266065, 6.495120647140292, 8.08525854239837, 11.70043392779299, 12.368519795325257]",305.32954743185746,218791.8129507886
11,indi_11_791,"[79.67745950397054, 3.115627302595684, 0.5380209921074619, -1.3021298722865307, 1.5153121948462323, 1.6921106204376015, 3.126416477088205, 3.2929538877705307, 1.6808384429478864, 3.990019285784079, 5.558570458391114, 4.9247979849949655, 7.385641727473212, 6.1956611853061645, 5.190367830902053, 7.175013049158345, 6.400696879865948, 8.158637678593633, 11.296361304979255, 12.54455456512515]",302.3865286218915,229689.76558800554
12,indi_12_439,"[78.47062401484794, 3.098283490283233, 0.5305772867217721, -1.289902235648802, 1.5285203527804545, 2.098974710485939, 3.126659400652271, 3.2795282560159116, 1.6690262772660631, 3.992246326794221, 5.541007212810685, 5.040149742744012, 7.413984004797035, 6.036560461886223, 5.340849731610172, 7.5984969705116345, 6.420351109617365, 7.971707553509248, 11.271617115533022, 12.591408064454159]",301.4432724336835,235359.05151880387
13,indi_13_545,"[78.49014037296438, 3.103857492497605, 0.5365751016910549, -1.2948493060279551, 1.514686703406201, 2.0189120430143266, 3.1223801818074235, 3.259274564651272, 1.670359840863386, 3.9126617765179943, 5.550571471881714, 5.188481508771927, 7.403368245719806, 6.104983861197826, 5.25984593939541, 7.216189795566591, 6.400897656871937, 7.972522504235124, 11.274809146938633, 12.59614438639167]",300.9835001893131,189555.4017822806
14,indi_14_429,"[78.49296031659412, 3.099986952579942, 0.5258992393891578, -1.293425222746131, 1.5424687246545412, 1.9513177109728723, 3.115265918159015, 3.0191726516556066, 1.6541641464878218, 3.927629500952004, 5.498553102290898, 5.14987200995107, 7.410261645063071, 6.197614336538894, 5.259990416048448, 7.304031049685483, 6.369945426930642, 8.033382128711873, 11.374860542288001, 12.836881827751622]",300.3886965371341,204411.51641348048
15,indi_15_321,"[78.70886051051895, 3.1042078999965708, 0.5345701718575874, -1.2989114205069971, 1.525418756168338, 1.890106473405639, 3.179681389769954, 3.2624990025540237, 1.67486652494015, 3.963289984383856, 5.538887991719849, 5.043784452154549, 7.410437329656191, 6.019493215954716, 5.204146472197889, 7.385317754783972, 6.373285570477111, 7.964419975736625, 11.31280194076036, 12.527603403285305]",300.3223244852198,249141.06806503542
16,indi_16_528,"[78.50308119247542, 3.100453398365156, 0.5265186582620549, -1.2974027749391877, 1.5287235797845158, 1.976398228908735, 3.108554548766209, 3.03430998863967, 1.6547600736132315, 3.928022126968103, 5.528085748979803, 5.172496945109357, 7.407469631329863, 6.190911436413511, 5.283413147912333, 7.319125950320701, 6.372891230690239, 7.997477427852731, 11.374820334644708, 12.588378512621324]",300.09833917946395,212807.2981737785
17,indi_17_822,"[78.57933042460705, 3.101573418513726, 0.5344444992110415, -1.300026117144034, 1.5432871584941474, 1.9100691100119083, 3.1352728449654927, 3.2833396675380175, 1.6691009628476665, 3.9523838231429176, 5.533734530583697, 5.146987237368602, 7.397471897511885, 6.040585489115216, 5.215572627748015, 7.386690906155842, 6.375065734456982, 7.962873180068252, 11.341021975307438, 12.537560430503149]",300.02114502377816,234279.78422199382
18,indi_18_611,"[78.4942933400178, 3.100528477623775, 0.5299883533955358, -1.2998790182724733, 1.5362359836641968, 1.9377611681694216, 3.1302928743706095, 3.162189374022766, 1.666294442720469, 3.935824123994399, 5.566074849881375, 5.145538594278241, 7.395080711594438, 6.037991141650382, 5.270952948345618, 7.426793749744992, 6.37479151241803, 7.968945560710806, 11.334070539435231, 12.578366919264369]",299.908894125777,203851.26415405064
19,indi_19_708,"[78.42822148105094, 3.1009030563453153, 0.5283241794606347, -1.2995366430946302, 1.535247698456377, 1.921502641266468, 3.130150769678881, 3.1818663411509265, 1.6636216083311464, 3.9438279049419664, 5.524328379710879, 5.113791920426957, 7.395650442068762, 6.087249117667756, 5.212933869681551, 7.363951128956559, 6.373137052526743, 7.963926261599763, 11.340765878413949, 12.588013224201202]",299.83668247105703,192861.503854004
20,indi_20_749,"[78.44183928632712, 3.099849131649571, 0.5297957449400046, -1.2993349939454246, 1.5352067501553635, 1.922414090058514, 3.149222689662408, 3.176523163399982, 1.664147633136628, 3.944913993221084, 5.523218481511977, 5.11723716040007, 7.395751031533067, 6.089137792060265, 5.236787941723071, 7.360810315985575, 6.3732088310715715, 7.969531423087134, 11.339412815720447, 12.622138779118993]",299.8196762676316,244404.87087491536
21,indi_21_433,"[78.4443466548321, 3.100683523283168, 0.5283324518117115, -1.2999098380341834, 1.5349322440665216, 1.9200797705397155, 3.1260440248109553, 3.1852228696503824, 1.6651164547714603, 3.9428141407509387, 5.523953764172443, 5.117003845423891, 7.395820946312633, 6.0904609810450765, 5.214529868135317, 7.364639005150014, 6.373035911200101, 7.973719250833233, 11.336101859936907, 12.592310526828806]",299.8132917929329,198936.16396939204
