generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_178,"[5.689329261986762, 39.467765810506, 0.45532589800584544, -1.5511151004303119, 0.033257273902679116, 0.00014681705690467893, 0.031678803228243, 0.030628185323360167, 0.03406465617676805, 0.18581714937158267, 1.497797613894309, 0.09512917944778918, 0.06845375760012339, 0.15183499726870203, 0.23573300320939325, 0.5896998193246704, 13.138968617130764, 0.5214588398779784, 0.8099822197524018, 0.29758961792640687]",2695.5206484874375,8565.406633772642
1,elite_1,"[5.689329261986762, 39.467765810506, 0.45532589800584544, -1.5511151004303119, 0.033257273902679116, 0.00014681705690467893, 0.031678803228243, 0.030628185323360167, 0.03406465617676805, 0.18581714937158267, 1.497797613894309, 0.09512917944778918, 0.06845375760012339, 0.15183499726870203, 0.23573300320939325, 0.5896998193246704, 13.138968617130764, 0.5214588398779784, 0.8099822197524018, 0.29758961792640687]",2695.5206484874375,238593.7047736873
2,indi_2_303,"[106.39757342274774, 47.99691145347865, -230.80873712883798, -9.593384939937957, 31.40933088508674, 166.36523613455702, 2.4668556665025676, -10.538108924398964, -125.26878722004702, 188.54570307955595, -19.789124344856436, 172.2816474840518, 170.46110790331315, -133.64845844666533, 4.036866840096752, 261.2259441944024, -171.92550451370371, 92.87461369121704, -16.904925774649197, 152.2555727178915]",1773.3454750914652,203215.70849761105
3,indi_3_23,"[87.39930560411405, 39.72710121517659, -56.36863342566322, -1.7845726947928702, 14.241287579035301, 145.74199715582657, 2.1819674437152927, -4.964400916218121, -116.72628126849216, 49.18534582272963, -4.364892640841939, 78.79051773984777, 2.4304441012066915, -7.842350346019202, 1.9602618643710388, 2.1231622309403613, -120.09558735810543, 73.67539598561133, -9.777457934772986, 131.99394816605493]",669.512337665791,243605.6567907859
4,indi_4_775,"[217.17848184994287, -2.998429113995911, -23.31578098289048, -2.0310764056206194, -4.6923805734262585, -0.6051207721441093, -36.002368497966074, -65.33377503823287, -67.15917694839165, 93.52825369116135, -134.50496644995897, 3.516623173720705, 2.201829311062621, -2.2810834691802917, -10.703639275533682, 24.275496537829675, 8.758333224969832, 95.65843642892384, 22.783218913078972, -12.859743444756576]",133.9864441131677,286076.1590461668
5,indi_5_140,"[165.83191317721977, 1.322965178737699, -132.17231897814537, 0.960972912073378, -4.928188043524617, -18.574556095853062, -63.27819251301224, -69.8396452263047, -92.92838535168889, 75.4177507052189, -80.58202082558537, 170.90487694876543, 83.49287660741913, -105.54892259001787, -3.457726551461355, 66.34673184677338, -11.990771582714462, 28.9812525608917, 2.2057245458899453, 48.53468424746721]",121.64944198004075,286251.4605690241
6,indi_6_638,"[112.46940968085866, 1.369970893843571, -63.07602398294332, 0.1819190234610767, 0.0023504442299976946, -31.936196770397665, -87.11859891410064, -44.275177429365684, -78.40541793943936, 54.37606755925695, -43.07604157281084, 9.421868681136694, 97.73520616696285, -107.08050873788467, -14.477722094865005, 37.9532558933037, -7.845423670073172, 62.511351383207156, 27.30113564457794, -2.6228244693049394]",59.25294724996175,245152.82699245325
7,indi_7_343,"[151.74814875621888, 0.23010643205302517, -63.06001275959397, 0.22807959838494668, -1.0526667517615829, -88.88209360525427, -81.02308195828508, -51.521716996879704, -77.10904308702013, 62.82608571832519, -96.7149135488171, 10.97133519869302, 109.04373417803407, -48.3521076338874, -26.58889941945057, 18.486464881019277, -7.76356530097854, 72.67724848425716, 20.158163162886964, -10.035626408728106]",41.01121068454591,250942.04472313836
8,indi_8_302,"[157.1241259992132, -0.8611853896296102, -62.97451514878264, 0.10095901577266837, 5.748297734901594, -59.65507577323968, -76.06025465803809, -51.83540862792831, -49.706416266968255, 61.744499200177756, -82.79908484647198, 16.817562696937884, 36.0117417036819, -48.670328959142715, -16.96598616687289, 23.66582588822939, -3.929811610990043, 91.15244063562207, 5.530974119516122, -11.419404088928843]",35.81763435166787,199929.27233570794
9,indi_9_808,"[150.287208406356, -0.44391968795158815, -49.6280653215877, 0.12194473987201634, -0.46344504107270146, -39.52159889631066, -72.65508579014889, -50.55314296212214, -65.55411529679687, 59.43688287456857, -74.41856660819681, 36.8043609452951, 55.15450351253338, -51.96664704117195, -24.082601830566336, 14.737132160860229, -5.117241297092964, 82.03790059630806, 17.660375260444553, -10.255901893278262]",33.30089646637448,198481.8851322542
