generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_95,"[135.75726046715576, 41.349515368504555, 0.18016001655649028, -1.4988143948395685, 0.07092118692144911, 3.937141167931743e-05, 0.025948604488672145, 0.022893823279571467, 0.025602770024127936, 0.04793247456415269, 1.3852418655688572, 0.10191692254813016, 0.11606232161960049, 0.09346629190220926, 0.2737191255185211, 0.1244925806598448, 9.893683709522573, 0.5623487471913298, 0.7498435489168391, 0.5644083786638954]",2882.4449345444195,8654.654126050491
1,indi_1_43,"[158.16370448117732, 38.22260271329677, 0.19897791300787496, 0.2585749966026962, 0.05157414144050063, 4.1455429804833355e-05, 0.025957061756493892, 0.019532730609296042, 0.02512182909275244, 0.13298318164182046, 1.4006848678595891, 0.05770935688040511, 0.10859513372189246, 0.03862521578825254, 0.16094299638331291, 0.3386406761071825, 9.439714266373896, 0.7125971444197019, 0.7616521775817939, 0.5868992705740648]",2850.8952521526735,206230.8713791359
2,indi_2_751,"[432.5180892603561, -36.174202132201955, 127.94181141444778, -44.03750790316343, 433.77562271440405, -126.99658844343249, -143.7371300430587, 394.63377405515985, 354.5966987559728, -183.10858307784227, 43.552365913764966, -51.80384822162699, -267.5606013174194, 349.3512225826085, -301.076579820913, 184.2699368566123, 245.73099667509325, 346.71029499642367, 408.22964462919555, -367.20154440459476]",2651.8263069232225,213571.80986202284
3,indi_3_649,"[382.37991048913716, -21.211227526698444, 117.56985675101488, -0.18913924023029338, 298.6295087591469, -3.399507190194917, -81.3737925004623, 3.6303215093387746, 215.7314951738542, -49.37135564871369, 36.712097804929996, -44.74610163981123, -85.40854758915084, 116.39385008941947, -284.81655944292135, 6.846843070459887, 16.057205225050666, 176.33802012591366, 124.95162117078418, -1.5866576136498447]",548.4367370033142,258027.74011475305
4,indi_4_198,"[317.37883359933846, -11.08320494578137, 107.25434874704133, -0.1867209130508403, 146.54521447748877, -0.15470087977470423, -7.396345742223871, 2.243351951462825, 23.765654006114502, -28.846290494981673, 29.515707577923354, -39.365876983162664, -8.013410561230064, 115.11568497302174, -185.81100042386768, 5.616730469526926, 10.689809238767351, 156.59105470297445, 53.91961923549253, -1.136918894643756]",190.58909696113736,347581.01158265007
5,indi_5_281,"[219.09842059892082, -7.616140081664218, 27.775640076855993, -0.3222487372078376, 224.051258185162, -45.05090091927226, -64.0820915717215, 27.484864655284998, 7.039610978244647, -15.551277227189255, 13.740670017512738, -6.725214639919358, -139.90698710130272, 86.69746555012459, -139.0178574618611, 7.2803278875046695, 10.122144465775234, 18.63330263617101, 62.5376274473671, -0.6121884203765204]",105.10631917207755,341603.6123636026
6,indi_6_436,"[258.38253679597244, -7.562646452087299, 33.12356658907774, -0.5024189673183177, 182.08172607565842, -29.231907108635433, -59.21102497053, 25.172350076631147, 62.48305471756319, -20.79938061536297, 15.31340249274415, -7.550309081272908, -101.25583869824837, 51.846565446371216, -145.4925910066302, 4.7225341217852295, 10.651789208626436, 24.794737806630664, 62.952891042954604, -0.5456795135258952]",92.47759063429727,229540.4710185363
7,indi_7_648,"[187.69336275262862, -5.117891055280367, 29.55028739573444, -0.30519772150283325, 175.16974278956505, -32.79849641120031, 38.44698284441173, 26.030697178021747, -10.088130049905848, -33.279592478162954, 11.135474705547267, -27.735346033665515, -115.12498968818099, 53.33036707920736, -160.26170108831, 34.923195185507026, 6.749579781260866, 90.34542901460277, 48.10521811699483, -14.587945421736963]",67.52011358871185,255106.63885656637
8,indi_8_543,"[-59.82934999958233, 0.7258272560195436, 74.66096597725209, -0.6035872885515348, 173.3317892382311, -42.524036972519035, -14.95084539978322, -2.979654485155134, 0.11662828249711515, -48.8289872166162, 4.026178506947711, -17.22084858541841, -34.64734390357067, 24.100664768044506, -91.23568593789085, 24.927781783504194, 2.940390162461008, 22.3118428388675, 37.15254998465785, -14.515446977875607]",55.997563968527444,221721.88539948652
9,indi_9_539,"[163.39722460062833, -3.0478592433257816, 41.87444460817176, -0.5013403910116677, 102.38275377919304, -19.286342057790627, -27.337353740800896, 92.85327576698207, 37.62231480329259, -44.80752853359184, 1.7167628597322706, -41.407902017140756, -117.1613063774781, 71.4298910893745, -136.28247065291873, 34.15970311954181, 1.3697490051282195, 32.2529098553075, 82.76167496691633, -51.325721639818234]",53.213186125779714,241810.13823515864
