generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_178,"[5.689329261986762, 39.467765810506, 0.45532589800584544, -1.5511151004303119, 0.033257273902679116, 0.00014681705690467893, 0.031678803228243, 0.030628185323360167, 0.03406465617676805, 0.18581714937158267, 1.497797613894309, 0.09512917944778918, 0.06845375760012339, 0.15183499726870203, 0.23573300320939325, 0.5896998193246704, 13.138968617130764, 0.5214588398779784, 0.8099822197524018, 0.29758961792640687]",2695.5206484874375,8554.902423276833
1,indi_1_319,"[92.64287287204333, -75.22559790165113, -363.98141608240917, 5.813945820886744, -247.61164699069752, 154.61706833510576, -303.33587031516544, 212.1259506810667, -1.7880898893268293, 393.1204695546607, 223.4866919453368, 366.65898660947755, 171.7270892046004, -176.96094585404455, 196.25394962417334, 156.30433823940479, 178.03022163225245, 101.44313805747895, -240.94927848336013, -154.76026561294717]",1280.0009602517234,203162.2698975313
2,indi_2_531,"[100.72770003911533, -23.246242676415896, -3.0876854973054573, 1.5438608454786586, -64.95716199991284, 117.63990730302646, -34.65541343763602, 104.15260517833707, -0.7056490534760633, 362.87380942388387, 88.29082653448243, 50.90161548591389, 93.72147668180286, -10.84011935981123, 182.3858823130422, 98.3102585159425, 51.418106091150605, 28.090244908847982, -62.67997681502768, -36.18332953667051]",522.3253547350677,233070.5851784734
3,indi_3_161,"[74.45119572800739, -11.187262648980425, 141.47500875978938, 1.4679691707685216, -22.7972579236265, 82.64385351579432, -134.43533414295803, 21.478400368852796, 127.51412241156737, -9.951826492330955, -94.55048817864245, 139.5799770105004, 96.35404872586528, -94.31910332866673, 40.62568736644479, 111.77565240182778, 26.524426627443866, 69.23540153322867, 21.554546432067706, -156.23986153220125]",234.59952062027006,414661.83185107785
4,indi_4_323,"[346.2072671590828, 8.231545459710203, 68.82298754426552, -1.3227428382067463, -3.3551942398286663, 49.47160290630501, 92.321573825545, -165.15336967295173, 127.46696392086135, -5.804642442886475, -34.591304487958006, 184.96480362955117, 30.080960888902755, -59.45733358986106, -16.984452036014332, 157.37559767253347, -28.857510228042344, -9.667734213718274, -76.8689164143216, -154.21122854474285]",164.09643072983246,313962.6113594067
5,indi_5_328,"[316.27017983102155, 1.0962199490006048, 60.66272476970044, -0.4039756080656459, -20.76040367860564, 59.2251486749267, 24.10542602139853, -50.46124074197763, 89.97229299396979, 21.577800610304937, -52.151648797104286, 156.3451830852079, 55.11044377851478, -82.21816920976678, 51.57731553039487, 149.85537818445684, -10.042241775155404, 5.87368062321618, -78.18059676444558, -151.5948895065144]",68.67725597970858,277078.25433089695
6,indi_6_612,"[230.73296177715656, -2.0991889032333284, -5.685038175952519, 0.8991750598579835, -35.39940268947588, 32.62820463287855, -93.42361057681644, -143.42984915396949, 95.7891661009352, -9.223824312231702, -68.72549599945589, 158.30924349670335, 69.07699239980982, -77.02295912070545, 20.289418736701574, 179.1808805435668, -4.8534554237533465, 26.313679611056944, 2.468640607694372, -142.74366624481806]",66.64634363910616,242480.16467354642
7,indi_7_54,"[178.78473105167058, -1.3182939609686755, 8.015687848669494, -0.09522805751024561, -31.745149990367562, 31.385475253232645, -23.79607682303419, -113.42051600712752, 70.21429853274776, 61.946962503472186, -2.4441260449525437, 129.97320232578426, 32.53192068644864, -62.9624015704849, 41.063496009726734, 94.45323198658284, -1.4941511454595104, 13.402965596631082, -48.7815764227324, -124.0786484358959]",32.34753837947479,261950.67413346202
8,indi_8_306,"[293.2892206985579, -1.0173926354309533, -7.636952460390402, 0.2667861212726938, -26.863782049397365, 36.62112245647743, -27.257008946416583, -11.578584857096734, 129.79486475042185, 28.038918729867532, -58.759397351967145, 142.92445508940364, 55.67586349414272, -138.35279846148723, 28.227435487416724, 157.63186167049605, -7.253555062620121, -15.173980596647443, -43.5676454732463, -143.56474830137017]",31.579266570550672,170391.0301109513
9,indi_9_246,"[294.11782806704133, -1.2399712985598161, -6.436309838613882, -0.02302858007641132, -38.132861152078476, 32.168051661431065, -65.74579038925107, -76.93068109494166, 108.70496304089549, 29.88992115527315, -58.431569321994296, 163.54450539380935, 54.8131105040724, -93.74985624779917, 38.1481516568208, 159.9267331458704, -4.327997902617608, -5.460803436508975, -67.95957672001902, -148.23365447176323]",23.59481238782786,188356.6385212977
