generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_87,"[71.79481162451277, 41.90502879166161, 0.6032598887815146, -3.5206073689660355, 0.04409020805695109, 6.535478039466409e-05, 0.022908543643670332, 0.045867737932875526, 0.02223164643192571, 0.07150907908699519, 1.3154488593342257, 0.1022449343498803, 0.09481075031031053, 0.11178067751340388, 0.12922387842302113, 0.45238690699387135, 5.561903368318264, 0.8180963321185444, 0.6968628243386974, 0.4229006001720956]",2583.525860265104,8157.605167220311
1,indi_1_206,"[12.691453931944164, 85.66752583120181, -305.8089725565845, 17.67590607723652, -317.2204116457655, -155.26153756996538, 391.37537427620333, -288.4820672501156, -388.5212627516883, -119.02873741604363, -288.19766824802986, -349.1100779646873, 86.83415068132346, -165.12529539024317, 56.33200246404788, 114.69552329099365, -370.2443847562771, 128.9438571107722, -282.31007206591744, 40.489088078293]",2390.653378550956,183539.75135532723
2,indi_2_239,"[51.10268242178389, 52.81822157353237, -247.63474882206256, 0.27601968566241386, -17.977449127365887, -7.148866019953345, 341.0908574617416, -95.62627221830498, -195.19418525527865, -3.242929954102275, -53.07186440838735, -203.1948866887536, 15.090416715226745, -31.186500145513154, 22.54256530228226, 46.32783972643984, -132.14666372681728, 43.38418862002554, -63.05041514363407, 1.9208663790700926]",923.9601572680157,261301.5263257123
3,indi_3_591,"[82.5615549802295, -15.00326216164155, -196.72841093534737, 0.3497178322030714, -9.962727716105066, -0.15477608736756804, 67.14827770719504, -16.449151744492934, -21.481418066574307, -116.81399949696983, 6.973191101776896, -88.7476273455976, -4.870729268652621, -2.3138430314483176, -4.109477415308674, -48.27753384676619, 45.31115206051922, 11.233052772368804, -54.9685231098566, -2.2185519762003065]",291.93295705330746,282676.65088826115
4,indi_4_8,"[88.47053954908601, -9.879647572843567, -153.76704734754057, 1.3325306331436688, -32.02995282217493, -12.27229730601719, 70.0317669329669, -32.59342635517827, -107.46596905788341, -33.5914969581608, -62.380566325613486, -99.46172591685189, 2.7972867812130944, -15.05818261308768, 7.26009088648394, 44.213588691858305, 21.380030052397537, 24.818803142641382, -61.070468407484974, -2.2021537805444797]",225.0382137273191,267537.21344804944
5,indi_5_522,"[90.5162039524675, -4.246203472978943, -148.12981928723195, 0.30887428108934106, -10.342127624963892, -6.642489374510305, 55.232367769525055, -27.24837768654767, -77.1128333897414, -66.36129941865941, -11.530516833654184, -73.7315592917585, 6.441572353329003, -3.702471851098248, -2.905881871314457, 2.7512674330827034, 9.810964666396822, 8.32886236135732, -47.197660391384105, -0.8374462229751729]",153.62241844099975,246031.13539957107
6,indi_6_230,"[80.48177520600075, -0.6408787081727003, -18.00605403004225, 0.15072719306966453, -36.316385757358425, -14.263516733513857, 154.48013223059002, -43.688918432278065, -121.21810156963238, -20.298096797594123, 56.36079552818104, -53.34014401931633, -9.542112600588544, -26.190738952606146, -1.8801253789462147, 10.001974272176446, 2.982683475740143, 20.688043241706108, -46.96237967235566, 5.757323407042845]",97.29073263347941,240535.97787158118
7,indi_7_115,"[77.97758603169473, 0.5932992365982221, -45.6428094599372, 0.43843612031333096, -36.46645726287885, -10.12362288464055, 162.2962981323239, -45.9124330343442, -129.71487258946092, -28.36130395688727, 16.854749677041834, -40.52426111475113, 7.834507539923916, -10.782167317824783, -0.4089724077340412, 9.421127424481941, -3.9300841737041754, 18.791363876880503, -54.80988853290878, 0.8577552502557901]",77.13310399484217,186530.01928008022
8,indi_8_626,"[85.34351936269837, -0.1867985425127845, -42.46340545336453, 0.5344065436411713, -30.522909509997127, -10.083054627797237, 155.28428706052324, -42.866554516240186, -133.4553786009111, -31.698821860936178, 20.517941021835707, -46.23729182953946, 8.16794827176535, -15.41278072307603, 2.0312269488676313, 9.37477190493676, -2.065008106960773, 18.738412323373712, -37.61095938825166, 2.7989642753170707]",71.16035715377961,227346.90385153532
9,indi_9_574,"[88.86596749478926, -0.46711784280220037, -36.65660455074419, 0.4938571973073694, -40.02139869559667, -9.482696564689324, 148.80387841385453, -43.735460531159475, -113.01350207941606, -32.07540717624055, 34.4242391016607, -52.30775587572662, 10.51262626089228, -16.33827993653587, -1.6220599717542887, 4.286279389874398, -2.8080481768023717, 18.522370907952148, -31.032991201115678, 1.3232490579896048]",62.0917656213933,210520.17263696025
