generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_256,"[21.591566754253154, 43.3167154171862, 0.27363688584015067, -0.9097979180604865, 0.05054888025918926, 0.00020377905597400783, 0.00981748245266854, 0.02034539512787312, 0.04443557712710044, 0.03416697795852475, 1.2810972356788328, 0.03239516359450445, 0.039002877636164085, 0.01513260848343805, 0.2002962480056799, 0.21800852262206663, 16.125694709405174, 0.33949482430095745, 0.6687578127210417, 0.4512787744364798]",3084.218606376054,8237.14574653921
1,indi_1_214,"[51.00337987969897, 39.61078662641141, 0.2820799196313452, -2.8566817805049265, 0.01856521868096832, 8.904459054425863e-05, 0.006029933863321065, 0.03788807663158719, 0.052206774296138014, 0.11776232625539201, 1.2688932944194158, 0.05825190722321796, 0.07212029582402289, 0.022704043871092858, 0.04648968331743367, 0.12642862510345684, 19.601991741657667, 0.410739489186728, 0.5897897444312581, 0.575943909740319]",2771.425645472681,217275.6546821725
2,indi_2_521,"[240.70163699011678, 28.382668939873568, -247.40681753372823, 26.140229889975853, 51.68318735984182, -238.75198281151702, 182.0663856036234, 373.74409262874366, -137.44207162170994, 82.65561317603458, 322.27488612822293, 262.2071057460154, -111.74137141784642, 351.8852544279005, 380.8361449145263, -212.58556918250682, -202.16309968440032, 325.4295638565635, 349.581230828187, 195.82173324779188]",2097.1858569549217,178686.21960117217
3,indi_3_27,"[193.6085452948601, 31.279793604379698, -115.61509360230373, 6.967435363243709, 15.264158587825236, -107.95773798015972, 101.69465185543744, 64.07855819278325, -6.511009543893586, 15.893231856543013, 213.93325957945078, 134.1969993843987, -40.41792114479819, 316.7301758220021, 60.8181316486789, -154.95206535709497, -130.4423999406514, 25.852217956649824, 169.96573299400404, 132.3635040012731]",909.2301256799386,218112.30992643212
4,indi_4_607,"[37.79818266341777, 31.42864036395774, -167.80452222123512, 1.0666281568800307, 31.058385899423936, -154.16770531327617, 94.20577243399136, 190.34232615217343, -40.62965429836825, 26.23715676291162, 105.39459929173208, 10.346230928969694, -4.820738626007149, 59.884523281209, 5.474540727117679, -118.88107685863504, -97.26655248449708, 54.8033598599807, 14.765823353021577, 29.00267751067834]",544.5362557775427,283245.2520145413
5,elite_5,"[37.79818266341777, 31.42864036395774, -167.80452222123512, 1.0666281568800307, 31.058385899423936, -154.16770531327617, 94.20577243399136, 190.34232615217343, -40.62965429836825, 26.23715676291162, 105.39459929173208, 10.346230928969694, -4.820738626007149, 59.884523281209, 5.474540727117679, -118.88107685863504, -97.26655248449708, 54.8033598599807, 14.765823353021577, 29.00267751067834]",544.5362557775427,244457.3391093843
6,indi_6_511,"[63.006534493053735, 31.730455348876056, -150.0296578735781, 0.7764454234298644, 28.966490003687476, -113.56490022358958, 44.212443238006024, 64.10949055899637, -16.372048303209652, 11.314169853060807, 106.23998142687407, 2.9509168013335882, -4.864432624794, 61.37763745871639, 11.75760837916476, -65.89614320497944, -96.18651845882445, 37.76172541152482, 5.752374069256149, 14.962745134350712]",542.4472636588317,210265.2242547769
7,indi_7_291,"[40.25923998303268, 31.696240308576733, -164.86619425177145, 0.13944777172510464, 31.034872848616352, -125.62959010734896, 95.11396434593232, 175.83482070784612, -43.31818105671354, 24.6850802846916, 106.99575973976205, 10.65778667167557, -4.707191770022893, 56.926552727604, 6.9079248632439345, -113.42178502377445, -94.39451910268517, 56.28192189314505, 30.67738121360418, 27.98911205016875]",537.3280007434773,234961.1302516927
8,indi_8_197,"[52.25064860186769, 31.566775712811406, -163.93789607616517, 0.20517789214012688, 30.73414015018796, -123.01486415867694, 70.0936072827516, 170.72938431581457, -37.81019398943932, 21.47858101516828, 106.48704386959974, 7.331571485145948, -4.826841201645815, 58.49821579536978, 8.966618940836382, -106.6696538874954, -95.3652432731644, 49.26203525963536, 12.602268257296021, 25.34081923966542]",533.549793647161,176196.68658599394
9,indi_9_49,"[56.070063416100425, 31.77574627160316, -143.10125816607732, -0.0818891408316977, 30.55726768143747, -128.5027805017095, 67.95315600695606, 70.99043190626705, -18.54755759023279, 14.533572189196097, 78.20804684214589, 27.115690738195383, -5.945271185350526, 58.59140608112419, 16.658947186295435, -108.94295617446988, -96.80847828203953, 53.91699065258835, 20.50130156605178, 17.720127923623224]",530.2562854105616,175313.8225809783
10,indi_10_24,"[59.97449138531942, 31.754672504801402, -141.7130418161433, -0.2243911495213508, 29.36085415889034, -113.9230843050385, 58.159669327817895, 78.09928607655529, -31.869480689064435, 12.997240851345254, 80.08965480804376, 6.172073657710179, -5.636195731956551, 57.730679420988125, 15.603168383013461, -94.64525542451977, -95.55428806810255, 50.95684756704142, 18.951137602464275, 26.651114151044602]",527.5195224913153,195620.58018109188
