generation,best_id,best_genotype,best_fitness,diversity
0,indi_0_214,"[33.2808176364603, 40.692033562700125, 0.754078793975452, -4.04569053303407, 0.0433811092160797, 0.00014597836211096052, 0.010399495902179418, 0.03896961716676798, 0.0943464603381521, 0.04590124339828029, 1.2140872887730245, 0.0663402752807276, 0.03771106317316649, 0.08437497899704885, 0.2250613363033708, 0.43054408784589276, 20.054634160157317, 0.579037331430839, 0.6288858613995516, 0.37447173096216707]",2720.090337792563,8412.791640886073
1,elite_1,"[33.2808176364603, 40.692033562700125, 0.754078793975452, -4.04569053303407, 0.0433811092160797, 0.00014597836211096052, 0.010399495902179418, 0.03896961716676798, 0.0943464603381521, 0.04590124339828029, 1.2140872887730245, 0.0663402752807276, 0.03771106317316649, 0.08437497899704885, 0.2250613363033708, 0.43054408784589276, 20.054634160157317, 0.579037331430839, 0.6288858613995516, 0.37447173096216707]",2720.090337792563,109900497.24726368
2,indi_2_605,"[40.993918891212445, 40.033732610898625, 0.721158442367355, -3.9743467881606143, 0.0592064950874017, 0.00015781019458863544, 0.022244357853042813, 0.03867223249889154, 0.08728421085713504, 0.05425963365615938, 1.1277445793194478, 0.09039137084096222, 0.043310844627761316, 0.10829575586243156, 0.2216340063304259, 0.26663993949263076, 19.416382861606667, 0.5772297077329821, 0.6446298210730992, 0.4286732263169595]",2677.5833389319773,134544777.06788453
3,indi_3_190,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,111661532.96364002
4,elite_4,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,119807321.8965885
5,elite_5,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,122849891.90979628
6,elite_6,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,94726530.09928901
7,elite_7,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,112821581.84838903
8,elite_8,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,109600612.99851316
9,elite_9,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,123620989.19449385
10,elite_10,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,110686206.06284189
11,elite_11,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,127617154.14846231
12,elite_12,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,116303614.45352691
13,elite_13,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,102937926.36478615
14,elite_14,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,120094646.44853401
15,elite_15,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,119657150.46564761
16,elite_16,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,121697781.17012368
17,elite_17,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,106846724.46630402
18,elite_18,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,111666656.12913555
19,elite_19,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,123994781.68437873
20,elite_20,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,128449044.29018788
21,elite_21,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,114102366.17136288
22,elite_22,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,115441647.89029296
23,elite_23,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,108886427.12738809
24,elite_24,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,117942664.26095293
25,elite_25,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,107660288.90791145
26,elite_26,"[41.21817858505491, 39.88472691247454, 0.5710546269104074, -3.8694326471710787, 0.018293384862218695, 0.00016002994617452917, 0.01753795045690662, 0.02698245307638165, 0.05431634035066642, 0.05750266926571373, 1.123199654090409, 0.09388264543904372, 0.03913569561131273, 0.0509967258852214, 0.2204953207668245, 0.14543037425440586, 13.629617539408788, 0.7233196261697399, 0.7477378404843722, 0.4447913231960138]",2553.8467376366702,97657451.72579017
